ce	A/Swine/Guangdong/L23/2010(H3N2)|unassigned
cf	A/Swine/France/59-150357/2015(H3N2)|unassigned
d0	A/Swine/Telgte/19994/2014(H3N2)|unassigned
d1	A/Swine/Belgium/Gent-82/2020(H3N2)|unassigned
d2	A/Swine/Hungary/M3/2010(H3N2)|unassigned
d3	A/Chicken/Guangdong/01/2013(H3N2)|unassigned
d4	A/Duck/Hokkaido/W150/2015(H3N2)|unassigned
d5	A/Duck/Hokkaido/OBF2/2018(H3N2)|unassigned
d6	A/Duck/Bangladesh/31019/2016(H3N2)|unassigned
d7	A/Duck/Mongolia/210/2018(H3N2)|unassigned
d8	A/Chicken/Guangxi/125C8/2012(H3N2)|unassigned
d9	A/Spot-billed_duck/South_Korea/KNU2020-105/2020(H3N2)|unassigned
da	A/Wild_duck/South_Korea/KNU2020-134/2020(H3N2)|unassigned
db	A/Muscovy_duck/Viet_Nam/QN-2615/2016(H3N2)|unassigned
dc	A/Duck/Vietnam/HN6561/2020(H3N2)|unassigned
dd	A/Duck/Vietnam/QN6586/2020(H3N2)|unassigned
de	A/Duck/Italy/194659/2006(H3N2)|unassigned
df	A/Duck/Zhejiang/4625/2013(H3N2)|unassigned
e0	A/Duck/Zhejiang/4637/2013(H3N2)|unassigned
e1	A/Duck/Zhejiang/4613/2013(H3N2)|unassigned
e2	A/Duck/Guangdong/W12/2011(H3N2)|unassigned
e3	A/Swine/Guangdong/L21/2011(H3N2)|unassigned
e4	A/Mallard/China/y41/2014(H3N2)|unassigned
e5	A/Duck/China/401D23/2019(H3N2)|unassigned
e6	A/Duck/Foshan/11/2019(H3N2)|unassigned
e7	A/Canine/Henan/L02/2018(H3N2)|unassigned
e8	A/Canine/Henan/L03/2018(H3N2)|unassigned
e9	A/Canine/China/HN3/2018(H3N2)|unassigned
ea	A/Canine/Henan/L06/2018(H3N2)|unassigned
eb	A/Canine/China/11071/2019(H3N2)|unassigned
ec	A/Canine/Guangdong/GY01/2018(H3N2)|unassigned
ed	A/Canine/China/18004/2019(H3N2)|unassigned
ee	A/Canine/China/Shanghai-0315-2019/2019(H3N2)|unassigned
ef	A/Canine/California/BRW002/2018(H3N2)|unassigned
f0	A/Canine/Korea/BD-1/2013(H3N2)|unassigned
f1	A/Canine/Korea/DG1/2014(H3N2)|unassigned
f2	A/Canine/Korea/S1/2012(H3N2)|unassigned
f3	A/Canine/Korea/CY009/2010(H3N2)|unassigned
f4	A/Canine/Beijing/362/2009(H3N2)|unassigned
f5	A/Golden_monkey/China/def2/2022(H3N2)|unassigned
f6	A/Canine/Guangdong/01/2013(H3N2)|unassigned
f7	A/Canine/Thailand/CU-DC5299/2012(H3N2)|unassigned
f8	A/Canine/California/043670/2017(H3N2)|unassigned
f9	A/Environment/Korea/ESD11/2003(H3N2)|unassigned
fa	A/Human/Brisbane/144/2017(H3N2)|unassigned
fb	A/Human/Victoria/79/2017(H3N2)|unassigned
fc	A/Human/Newcastle/177/2017(H3N2)|unassigned
fd	A/Chicken/Vietnam/LBOral41HV/2020(H3N2)|unassigned

